Batch,Optimal,Non-optimal,Score,Rank,Precision (Penalized Distance)
15,100.0,0.0,100.0,1,0.0
2,100.0,0.0,100.0,1,0.0
16,100.0,0.0,100.0,1,0.0
5,100.0,0.0,100.0,1,0.0
11,100.0,0.0,100.0,1,0.0
8,100.0,0.0,100.0,1,0.0
23,91.30434782608695,8.695652173913043,91.30434782608695,2,1.4391304347826048
29,88.46153846153845,11.538461538461538,88.46153846153845,3,18.326923076923077
1,85.0,15.0,85.0,4,9.560000000000002
20,80.95238095238095,19.047619047619047,80.95238095238095,5,11.709523809523803
12,80.95238095238095,19.047619047619047,80.95238095238095,5,12.495238095238088
14,80.95238095238095,19.047619047619047,80.95238095238095,5,31.81428571428571
22,80.95238095238095,19.047619047619047,80.95238095238095,5,27.94285714285715
17,76.47058823529412,23.52941176470588,76.47058823529412,6,17.249411764705883
26,76.19047619047619,23.809523809523807,76.19047619047619,7,61.4952380952381
27,73.68421052631578,26.31578947368421,73.68421052631578,8,40.79473684210526
13,68.42105263157895,31.57894736842105,68.42105263157895,9,79.73157894736843
7,66.66666666666666,33.33333333333333,66.66666666666666,10,86.55714285714286
28,57.14285714285714,42.857142857142854,57.14285714285714,11,599.6809523809525
21,55.00000000000001,45.0,55.00000000000001,12,251.675
19,52.63157894736842,47.368421052631575,52.63157894736842,13,503.2631578947368
24,52.38095238095239,47.61904761904761,52.38095238095239,14,865.9809523809523
10,52.38095238095239,47.61904761904761,52.38095238095239,14,984.1285714285715
3,48.0,52.0,48.0,15,697.2636
4,47.61904761904761,52.38095238095239,47.61904761904761,16,983.847619047619
6,47.61904761904761,52.38095238095239,47.61904761904761,16,1217.4095238095238
25,43.47826086956522,56.52173913043478,43.47826086956522,17,1225.7608695652175
18,38.095238095238095,61.904761904761905,38.095238095238095,18,1657.2714285714285
30,38.095238095238095,61.904761904761905,38.095238095238095,18,1899.6809523809525
9,31.818181818181817,68.18181818181817,31.818181818181817,19,2249.1590909090914
