,Batch,Optimal,Non-optimal,Score,Rank,Q1_PAA concentration offline(PAA_offline:PAA (g L^{-1})),Q3_PAA concentration offline(PAA_offline:PAA (g L^{-1})),IQR_PAA concentration offline(PAA_offline:PAA (g L^{-1})),Precision Metric (%)
0,98,80.95238095238095,19.047619047619047,80.95238095238095,1,1235.7,1698.9,463.20000000000005,100.0
1,93,78.94736842105263,21.052631578947366,78.94736842105263,2,1278.75,1604.15,325.4000000000001,100.0
2,96,61.904761904761905,38.095238095238095,61.904761904761905,3,1384.9,2292.9,908.0,45.715859030836995
3,92,42.857142857142854,57.14285714285714,42.857142857142854,4,1537.2,3630.5,2093.3,12.554340037261735
4,94,42.857142857142854,57.14285714285714,42.857142857142854,4,1444.5,6517.8,5073.3,7.007273372361185
5,95,36.84210526315789,63.1578947368421,36.84210526315789,5,1514.1999999999998,6474.9,4960.7,5.7612836898018465
6,99,36.36363636363637,63.63636363636363,36.36363636363637,6,1487.425,7951.05,6463.625,4.835908642596067
7,97,35.0,65.0,35.0,7,1402.475,2490.1749999999997,1087.6999999999998,36.547301645674374
8,100,28.57142857142857,71.42857142857143,28.57142857142857,8,1248.8,7000.8,5752.0,9.582753824756606
9,91,26.08695652173913,73.91304347826086,26.08695652173913,9,1728.9,8387.7,6658.800000000001,1.0677599567489622
