Batch,Optimal,Above Average,Average,Below Average,Non-optimal,Score,Rank,CI Lower,CI Upper,Precision
27,36.84210526315789,21.052631578947366,15.789473684210526,15.789473684210526,10.526315789473683,3.578947368421052,1.0,1.0411600221238937,1.0425009513274337,745.7515261506968
15,41.17647058823529,5.88235294117647,29.411764705882355,11.76470588235294,11.76470588235294,3.529411764705882,2.0,1.0309633695652174,1.0319002173913043,1067.4092122056118
8,33.33333333333333,19.047619047619047,23.809523809523807,14.285714285714285,9.523809523809524,3.523809523809523,3.0,1.0345769064748203,1.0355345863309353,1044.1902830206955
12,23.809523809523807,28.57142857142857,28.57142857142857,9.523809523809524,9.523809523809524,3.476190476190476,4.0,1.0299816739130434,1.0308351086956522,1171.7356971826002
1,30.0,15.0,30.0,10.0,15.0,3.35,5.0,1.0395093016759775,1.0408682960893851,735.8381978131657
29,15.384615384615385,30.76923076923077,34.61538461538461,11.538461538461538,7.6923076923076925,3.346153846153846,6.0,1.0409547826086958,1.0422507173913043,771.6437689766959
11,16.666666666666664,33.33333333333333,27.77777777777778,11.11111111111111,11.11111111111111,3.333333333333333,7.0,1.0352877155172415,1.036426875,877.8402103789967
6,23.809523809523807,9.523809523809524,47.61904761904761,9.523809523809524,9.523809523809524,3.2857142857142856,8.0,1.045245,1.0466774130434784,698.1226571154672
5,25.0,18.75,25.0,18.75,12.5,3.25,9.0,1.0274045634920632,1.0281794246031744,1290.5538626993673
10,23.809523809523807,9.523809523809524,42.857142857142854,14.285714285714285,9.523809523809524,3.2380952380952372,10.0,1.0402460869565218,1.0416340217391304,720.4949487039006
26,14.285714285714285,19.047619047619047,42.857142857142854,14.285714285714285,9.523809523809524,3.1428571428571423,11.0,1.0409888366336635,1.042336311881188,742.1286601272934
18,4.761904761904762,23.809523809523807,52.38095238095239,9.523809523809524,9.523809523809524,3.0476190476190474,12.0,1.0440163913043479,1.045353152173913,748.0769543510896
28,9.523809523809524,19.047619047619047,47.61904761904761,14.285714285714285,9.523809523809524,3.047619047619047,13.0,1.0281562731481482,1.0290472685185186,1122.340287339852
23,4.3478260869565215,21.73913043478261,52.17391304347826,13.043478260869565,8.695652173913043,3.0,14.5,1.0340286739130435,1.0350047608695652,1024.4988864143718
7,9.523809523809524,14.285714285714285,52.38095238095239,14.285714285714285,9.523809523809524,3.0,14.5,1.046239502762431,1.047858950276243,617.4945414847582
3,0.0,24.0,56.00000000000001,12.0,8.0,2.96,16.0,1.034739956521739,1.0357801739130434,961.3375130615628
14,0.0,23.809523809523807,52.38095238095239,14.285714285714285,9.523809523809524,2.9047619047619047,18.0,1.0310276329787234,1.032068085106383,961.1206257507728
16,0.0,23.809523809523807,52.38095238095239,14.285714285714285,9.523809523809524,2.9047619047619047,18.0,1.0365495434782608,1.0376255217391306,929.3868067479508
24,0.0,23.809523809523807,52.38095238095239,14.285714285714285,9.523809523809524,2.9047619047619047,18.0,1.033111038647343,1.0340889613526572,1022.5757051818806
19,0.0,21.052631578947366,52.63157894736842,15.789473684210526,10.526315789473683,2.8421052631578947,20.0,1.0315338043478262,1.0324330652173914,1112.0243678382612
17,0.0,17.647058823529413,52.94117647058824,17.647058823529413,11.76470588235294,2.7647058823529416,21.0,1.0285973245614035,1.029410592105263,1229.607658083063
20,0.0,14.285714285714285,57.14285714285714,19.047619047619047,9.523809523809524,2.7619047619047614,22.0,1.028061695652174,1.0289253043478261,1157.9318330564515
2,0.0,4.761904761904762,71.42857142857143,14.285714285714285,9.523809523809524,2.714285714285714,23.0,1.034277178030303,1.0352439583333333,1034.361164440014
4,0.0,0.0,76.19047619047619,14.285714285714285,9.523809523809524,2.666666666666666,24.0,1.0343190652173915,1.0353177608695652,1001.3060513715698
21,0.0,0.0,75.0,15.0,10.0,2.65,25.0,1.0273715900383142,1.0280729501915709,1425.8009887740511
13,0.0,0.0,73.68421052631578,15.789473684210526,10.526315789473683,2.631578947368421,26.0,1.038490847826087,1.039615956521739,888.8030142016028
9,0.0,4.545454545454546,59.09090909090909,27.27272727272727,9.090909090909092,2.590909090909091,27.0,1.0460177488151658,1.0475148815165878,667.943462226314
22,0.0,0.0,71.42857142857143,14.285714285714285,14.285714285714285,2.571428571428571,28.5,1.0371458695652174,1.0383156739130435,854.8438051699387
30,0.0,0.0,66.66666666666666,23.809523809523807,9.523809523809524,2.571428571428571,28.5,1.0416626896551724,1.0427866206896552,889.7343069276005
25,0.0,0.0,65.21739130434783,26.08695652173913,8.695652173913043,2.565217391304348,30.0,1.0283676739130434,1.0292114130434784,1185.2004534676855
