Batch,Optimal,Non-optimal,Score,Rank,Precision (Penalized Distance)
98,80.95238095238095,19.047619047619047,80.95238095238095,1,32.85238095238095
93,78.94736842105263,21.052631578947366,78.94736842105263,2,18.184210526315802
96,61.904761904761905,38.095238095238095,61.904761904761905,3,429.69523809523804
92,42.857142857142854,57.14285714285714,42.857142857142854,4,987.3333333333334
94,42.857142857142854,57.14285714285714,42.857142857142854,4,2275.7190476190476
95,36.84210526315789,63.1578947368421,36.84210526315789,5,2403.057894736842
99,36.36363636363637,63.63636363636363,36.36363636363637,6,2900.431818181818
97,35.0,65.0,35.0,7,698.51
100,28.57142857142857,71.42857142857143,28.57142857142857,8,2507.4285714285716
91,26.08695652173913,73.91304347826086,26.08695652173913,9,3283.5565217391304
