,Batch,Optimal,Non-optimal,Score,Rank,Q1_PAA concentration offline(PAA_offline:PAA (g L^{-1})),Q3_PAA concentration offline(PAA_offline:PAA (g L^{-1})),IQR_PAA concentration offline(PAA_offline:PAA (g L^{-1})),Precision Metric (%)
0,57,100.0,0.0,100.0,1,897.79,1039.7,141.91000000000008,100.0
1,35,100.0,0.0,100.0,1,1108.85,1168.15,59.30000000000018,100.0
2,53,100.0,0.0,100.0,1,966.3375000000001,1121.825,155.48749999999995,100.0
3,46,85.71428571428571,14.285714285714285,85.71428571428571,2,1342.0,1657.3,315.29999999999995,100.0
4,31,81.81818181818183,18.181818181818183,81.81818181818183,3,672.9399999999999,1188.6,515.66,100.0
5,48,80.95238095238095,19.047619047619047,80.95238095238095,4,1143.6,1594.4,450.8000000000002,100.0
6,32,71.42857142857143,28.57142857142857,71.42857142857143,5,1065.9,1576.3,510.39999999999986,100.0
7,47,70.0,30.0,70.0,6,1273.075,2256.625,983.55,53.573788826190835
8,37,68.42105263157895,31.57894736842105,68.42105263157895,7,1245.3,2138.2,892.8999999999999,62.12341807593237
9,58,66.66666666666666,33.33333333333333,66.66666666666666,8,1162.5,2235.1,1072.6,59.43501771396606
10,54,66.66666666666666,33.33333333333333,66.66666666666666,8,1081.6,2399.5,1317.9,54.51096441308142
11,41,63.63636363636363,36.36363636363637,63.63636363636363,9,1450.6750000000002,1916.55,465.8749999999998,74.98255969949021
12,52,61.904761904761905,38.095238095238095,61.904761904761905,10,1387.3,2189.4,802.1000000000001,51.45243735195113
13,60,61.904761904761905,38.095238095238095,61.904761904761905,10,1372.0,2355.3,983.3000000000002,43.5268992169226
14,39,61.904761904761905,38.095238095238095,61.904761904761905,10,1481.6,1877.8,396.20000000000005,80.36345280161537
15,59,61.111111111111114,38.88888888888889,61.111111111111114,11,1380.65,2387.475,1006.8249999999998,41.65073374220942
16,50,57.14285714285714,42.857142857142854,57.14285714285714,12,1364.6,2338.7,974.0999999999999,44.69766964377375
17,38,57.14285714285714,42.857142857142854,57.14285714285714,12,1123.3,2114.4,991.1000000000001,68.27767127434163
18,44,57.14285714285714,42.857142857142854,57.14285714285714,12,1240.9,3760.3,2519.4,22.191791696435654
19,55,55.00000000000001,45.0,55.00000000000001,13,1277.7,2079.225,801.5249999999999,65.16328249274821
20,40,52.38095238095239,47.61904761904761,52.38095238095239,14,1497.1,3794.1,2297.0,13.186765346103618
21,36,52.38095238095239,47.61904761904761,52.38095238095239,14,1386.1,4905.0,3518.9,11.762198414277192
22,33,52.17391304347826,47.82608695652174,52.17391304347826,15,1322.5,4996.3,3673.8,12.997441341390386
23,43,47.61904761904761,52.38095238095239,47.61904761904761,16,1336.2,4709.8,3373.6000000000004,13.747925065212232
24,42,47.61904761904761,52.38095238095239,47.61904761904761,16,1143.3,3955.6,2812.3,23.350993848451445
25,49,42.857142857142854,57.14285714285714,42.857142857142854,17,1233.6,2481.9,1248.3000000000002,45.37370824321077
26,34,42.857142857142854,57.14285714285714,42.857142857142854,17,1511.7,5051.7,3540.0,8.14406779661017
27,51,40.0,60.0,40.0,18,1451.6000000000001,5214.325,3762.7249999999995,9.259246955331573
28,56,38.095238095238095,61.904761904761905,38.095238095238095,19,1514.7,2195.6,680.8999999999999,41.900425906887946
29,45,34.78260869565217,65.21739130434783,34.78260869565217,20,1532.2,7303.15,5770.95,4.640483802493523
