Batch,Optimal,Above Average,Average,Below Average,Non-optimal,Score,Rank,CI Lower,CI Upper,Precision
74,23.217391304347824,12.0,42.08695652173913,12.956521739130435,9.73913043478261,3.26,1.0,2.9162978423236514,2.9195065352697096,311.6533793700886
62,21.565217391304348,13.56521739130435,41.391304347826086,13.652173913043478,9.826086956521738,3.233913043478261,2.0,3.231505739130435,3.2356644782608694,240.45749652383623
79,22.21276595744681,11.914893617021278,41.78723404255319,14.553191489361703,9.53191489361702,3.227234042553191,3.0,2.9856907826086956,2.988930543478261,308.6647565238859
65,21.385281385281385,12.727272727272727,42.42424242424242,13.766233766233766,9.696969696969697,3.2233766233766232,4.0,3.0988546739130434,3.103093239130435,235.92889308316825
72,19.73913043478261,14.43478260869565,40.95652173913044,15.130434782608695,9.73913043478261,3.19304347826087,5.0,3.224239523809524,3.2287223593073593,223.07309748102526
90,18.521739130434785,14.43478260869565,43.56521739130435,13.73913043478261,9.73913043478261,3.182608695652175,6.0,2.806774956521739,2.809917478260869,318.2157779684337
81,18.818181818181817,12.909090909090908,43.63636363636363,14.545454545454545,10.09090909090909,3.1581818181818178,7.0,2.525234491017964,2.528439610778443,312.0008220380773
80,16.434782608695652,13.304347826086957,46.869565217391305,13.652173913043478,9.73913043478261,3.130434782608696,8.0,3.017331065217392,3.0211776739130434,259.9692558097963
86,15.91304347826087,14.869565217391303,44.608695652173914,14.782608695652174,9.826086956521738,3.122608695652174,9.0,2.8630390666666665,2.866270555555556,309.45487804034946
76,14.869565217391303,15.91304347826087,45.21739130434783,14.173913043478262,9.826086956521738,3.1182608695652174,10.0,2.8727293043478266,2.8757327391304344,332.95212727467083
71,19.065420560747665,10.841121495327103,43.27102803738318,16.261682242990656,10.560747663551401,3.11588785046729,11.0,3.1151379205607475,3.119713621495327,218.54575163397413
87,16.126126126126124,13.873873873873874,44.68468468468468,15.315315315315313,10.0,3.108108108108108,12.0,3.1934271739130433,3.1978771086956517,224.72239456368933
64,15.217391304347828,13.304347826086957,47.56521739130435,14.173913043478262,9.73913043478261,3.1008695652173914,13.0,2.8514523940677967,2.854343029661017,345.9446781688655
82,14.782608695652174,11.826086956521738,49.21739130434782,14.43478260869565,9.73913043478261,3.0747826086956525,14.0,3.2561467826086954,3.2609505000000003,208.1721130826875
68,11.565217391304348,12.782608695652172,51.391304347826086,14.521739130434783,9.73913043478261,3.0191304347826087,15.0,2.6456672135416666,2.6487554687499997,323.8074357655663
85,12.1,14.499999999999998,45.9,16.3,11.200000000000001,3.0,16.0,3.1164951739130435,3.120493326086956,250.11554250609512
63,7.91304347826087,17.565217391304348,49.56521739130435,15.217391304347828,9.73913043478261,2.986956521739131,17.0,2.783046780487805,2.786370195121951,300.8953471305485
84,6.782608695652175,16.695652173913047,51.65217391304348,15.130434782608695,9.73913043478261,2.956521739130435,18.0,2.852186065217391,2.8552361304347826,327.86184187078885
61,0.0,24.315352697095435,52.53112033195021,13.858921161825727,9.294605809128631,2.918672199170125,19.0,3.225331659574468,3.2296486170212764,231.64462756966662
83,0.0,20.16597510373444,56.92946058091286,13.526970954356846,9.377593360995851,2.8788381742738585,20.0,3.127999130434782,3.132047847826087,246.9918009460414
70,0.0,20.869565217391305,55.47826086956522,13.91304347826087,9.73913043478261,2.8747826086956523,21.0,3.155986590909091,3.1605286136363633,220.16622550027182
88,0.0,21.565217391304348,53.826086956521735,14.869565217391303,9.73913043478261,2.8721739130434782,22.0,3.0727590869565216,3.0770269347826087,234.31013493206575
69,0.0,22.577777777777776,51.288888888888884,16.177777777777777,9.955555555555556,2.864888888888889,23.0,2.877975767634855,2.880679668049792,369.83610582538194
78,0.0,20.782608695652176,53.65217391304348,15.565217391304348,10.0,2.8521739130434782,24.0,2.9555180217391306,2.9588904565217393,296.521671866536
73,0.0,19.322033898305087,56.016949152542374,15.169491525423728,9.491525423728813,2.851694915254238,25.0,2.9969422000000003,3.0016283,213.39706792429564
66,0.0,17.739130434782606,55.30434782608695,16.956521739130434,10.0,2.807826086956522,26.0,3.1200770652173913,3.124160652173913,244.88274907503956
77,0.6829268292682927,15.414634146341463,56.68292682926829,16.29268292682927,10.926829268292684,2.786341463414634,27.0,3.1049026351351348,3.109250225225225,230.0124849118991
89,0.0,6.666666666666667,68.65800865800867,14.978354978354979,9.696969696969697,2.722943722943723,28.0,2.8698086086956525,2.8730054782608696,312.8060058753372
75,0.0,6.770833333333333,62.81250000000001,18.75,11.666666666666666,2.6468750000000005,29.0,2.72217367965368,2.7248280952380957,376.7307598219237
67,0.0,0.0,66.22754491017963,20.23952095808383,13.532934131736527,2.526946107784431,30.0,3.1812335000000003,3.1856471086956524,226.571966152122
